code;canton;departement;cereales;racines_et_legumes_divers;cultures_diverses;prairies_artificielles;jacheres;total_des_terres_labourables;prairies_naturelles;vignes;autres_cultures_arborescentes;paturages;autres_surfaces_ecoumene;superficie_totale;marais_susceptibles_d_etre_desseches;code_departement;centre;longitude;latitude
295;QUIMPERLE;FINISTERE;18331;827;399;143;7324;27024;4470;0;2634;28319;12625;75072;81;29;;-3,5586000;47,8558000
301;ALES;GARD;8543;1405;356;2169;6540;19013;3208;10495;32215;16786;49416;131133;0;30;;4,0905000;44,1250000
302;NIMES;GARD;31076;1192;1055;8065;8398;49786;2323;44686;4816;36614;25428;163653;2400;30;;4,3429000;43,8322000
303;UZES;GARD;28491;3476;974;6631;12198;51770;1037;17660;7479;23885;46724;148555;36;30;;4,4160000;44,0289000
304;LE VIGAN;GARD;10029;1644;180;2220;8443;22516;2463;4953;24331;43982;41970;140215;0;30;;3,6336000;43,9822000
311;MURET;HAUTE GARONNE;61167;5557;2234;9323;27554;105835;6609;16969;94;4196;29534;163237;0;31;;1,2987000;43,4407000
312;SAINT GAUDENS;HAUTE GARONNE;47890;6807;2042;4134;20759;81632;24181;7685;2507;13146;83653;212804;0;31;;0,7254000;43,1209000
313;TOULOUSE;HAUTE GARONNE;59353;6467;3192;10621;23075;102708;8347;21803;43;5143;21290;159334;0;31;;1,4328000;43,6007000
314;VILLEFRANCHE;HAUTE GARONNE;45191;3213;842;8908;15951;74105;2987;5543;4;1159;9816;93614;0;31;;1,7185000;43,4065000
321;AUCH;GERS;50029;2743;1536;3872;15150;73330;12347;20095;0;5107;19622;130501;0;32;;0,5673000;43,6602000
322;CONDOM;GERS;42263;2712;1864;2565;15008;64412;14703;30901;131;17282;22532;149961;558;32;;0,3782000;43,9653000
323;LECTOURE;GERS;39684;3662;1425;2822;13829;61422;10236;12379;6;1628;12841;98512;0;32;;0,6524000;43,9450000
324;LOMBEZ;GERS;30971;3461;1022;5987;12976;54417;5743;6757;0;1740;11103;79760;0;32;;0,8995000;43,4641000
325;MIRANDE;GERS;54410;2183;1793;5960;23470;87816;18550;24460;141;8107;30223;169297;600;32;;0,4053000;43,5200000
331;BAZAS;GIRONDE;22997;1962;4612;1168;3032;33771;8959;8334;375;30202;66756;148397;125;33;;-0,2177000;44,4409000
332;BLAYE;GIRONDE;21170;3625;562;468;2376;28201;9481;17787;56;3295;12908;71728;210;33;;-0,6670000;45,1311000
333;BORDEAUX;GIRONDE;28453;6572;4519;1589;9084;50217;17498;45212;663;194919;114987;423496;2150;33;;-0,5848000;44,8624000
334;LESPARRE;GIRONDE;19041;2400;814;1179;8755;32189;7859;12314;0;45580;22473;120415;2206;33;;-0,9235000;45,2796000
335;LIBOURNE;GIRONDE;31678;7087;1741;4911;9893;55310;15510;35957;87;3932;18224;129020;0;33;;-0,2328000;44,9125000
336;LA REOLE;GIRONDE;23850;2007;907;2786;7486;37036;8984;18102;234;1539;15081;80976;0;33;;-0,0447000;44,5869000
341;BEZIERS;HERAULT;32392;618;977;7228;18744;59959;1728;52957;10167;27019;26752;178582;960;34;;3,2342000;43,3481000
342;LODEVE;HERAULT;16723;1094;367;2044;9799;30027;1396;16340;3092;53979;14964;119798;0;34;;3,2949000;43,7296000
343;MONTPELLIER;HERAULT;23639;875;800;5991;12163;43468;3687;29622;3847;55918;63173;199715;1014;34;;3,8742000;43,6100000
344;SAINT PONS;HERAULT;14462;1911;248;1653;10853;29127;5488;7566;7657;51851;20016;121705;0;34;;2,7498000;43,4823000
351;FOUGERES;ILLE ET VILAINE;45559;1776;1889;7252;11702;68178;10730;0;200;8213;12316;99637;193;35;;-1,1953000;48,3512000
352;MONTFORT;ILLE ET VILAINE;41799;612;1583;2706;11936;58636;7848;0;532;13225;14394;94635;1;35;;-1,9582000;48,1273000
353;REDON;ILLE ET VILAINE;46430;2286;1381;632;4441;55170;14748;190;379;47493;14977;132957;415;35;;-2,0787000;47,6557000
354;RENNES;ILLE ET VILAINE;65511;1830;3779;5283;12713;89116;16612;0;2362;12561;16935;137586;86;35;;-1,6884000;48,1159000
355;SAINT MALO;ILLE ET VILAINE;44293;3524;5774;4965;10310;68866;6087;0;404;6017;11547;92921;300;35;;-2,0066000;48,6463000
356;VITRE;ILLE ET VILAINE;50712;1799;3188;4365;13896;73960;15847;0;486;7034;17520;114847;14;35;;-1,1972000;48,1105000
361;LE BLANC;INDRE;50780;2084;2416;5029;30451;90760;24352;4451;23;25788;38688;184062;9736;36;;1,0955000;46,6351000
362;CHATEAUROUX;INDRE;79704;2232;2214;8747;40549;133446;26801;5683;126;26070;53402;245528;3385;36;;1,6903000;46,8023000
363;LA CHATRE;INDRE;39065;2135;1953;4452;25565;73170;28399;2075;2475;8145;17800;132064;12;36;;1,3899000;46,4070000
364;ISSOUDUN;INDRE;50660;1178;916;6081;19561;78396;10162;5630;16;4610;19062;117876;350;36;;2,0077000;46,9447000
